entry_rule,sl,tp,hold_d,train_n,train_mean,train_median,train_win,train_pf,train_worst,test_n,test_mean,test_median,test_win,test_pf,test_worst
delay 12h,0.15,0.5,1,241,0.040107837668448984,0.017936430536487854,0.5352697095435685,1.340244087988353,-0.347546917438345,161,-0.013079406584647745,-0.0011093370418005376,0.4906832298136646,0.7704733912995311,-0.3242075601339959
drop 20% (after 1h),,0.5,7,211,0.0400426437125252,0.18849682843734897,0.5971563981042654,1.1312570320238522,-1.0,49,-0.0583401315296696,0.03299572317276064,0.5102040816326531,0.7620579816944947,-1.0
drop 10% (after 4h),0.3,0.2,1,227,0.03996103594335708,0.13563987313309886,0.6299559471365639,1.2901165092070666,-0.7816917435956793,104,-0.0133436130216697,-0.004779470329754069,0.47115384615384615,0.8146918284810293,-0.6362193324679486
drop 30% (after 4h),0.3,0.5,7,188,0.03958487173004388,0.05040565071639419,0.5212765957446809,1.1523727071459335,-0.781623388907563,24,-0.04816464379788272,0.031300936243184106,0.5416666666666666,0.7958604186735788,-0.6360648776383081
drop 30% (after 1h),,0.3,1,188,0.039474095529446585,0.13659102540077753,0.6117021276595744,1.2428483654786124,-1.0,24,-0.0856921545783639,-0.08156599241581233,0.375,0.5529079088074335,-1.0
drop 20% (after 1h),0.2,0.3,1,211,0.03937898261154002,0.058947137966321436,0.5450236966824644,1.26080659235148,-0.43451681638065537,49,-0.0201961126699707,0.010369134229707977,0.5102040816326531,0.81733375755095,-0.4385633170305853
delay 4h,0.2,0.3,3,241,0.03932460998195237,0.03921194260486434,0.5228215767634855,1.2352373718535707,-0.5877151130642956,161,0.005975344338374967,0.016912627204081807,0.5527950310559007,1.077578305943048,-0.4362284812395515
delay 12h,0.45,,1,241,0.03924286613773275,0.07915214139937227,0.6431535269709544,1.2726583987061142,-0.9429488287391418,161,-0.008823106561788344,0.0029285862985756095,0.5031055900621118,0.8409693109892081,-0.9257081601339957
drop 10% (after 4h),0.45,0.2,1,227,0.03923340395346744,0.15717498435161448,0.6651982378854625,1.2651686655945602,-0.9466928432324838,104,-0.0016933149069385807,-0.003838895778015456,0.4807692307692308,0.9736618078134811,-0.9369696324679483
delay 4h,0.15,0.5,7,241,0.03919845349904327,-0.29937204501486586,0.4066390041493776,1.226714070117266,-0.48746501306429524,161,0.0020632748156368705,-0.02085069323978262,0.4409937888198758,1.0205405987763936,-0.3359783812395514
delay 0.5h,0.1,0.5,7,241,0.03916153854888387,-0.20640054427633495,0.2946058091286307,1.2795940955721647,-0.2988844216187717,161,0.0008894858111663768,-0.04865838379715613,0.38509316770186336,1.009568605448411,-0.2315090061538463
drop 15% (after 4h),0.15,0.5,7,217,0.03908237946677499,-0.30381091738045707,0.3778801843317972,1.203434659436393,-0.5479148693857494,69,0.050162343039198025,0.019407219242851388,0.5652173913043478,1.4730607021423503,-0.3354690324679483
drop 10% (after 4h),0.1,,7,227,0.039080832678810226,-0.20572532994504117,0.31277533039647576,1.2767787320503459,-0.40023981306166,104,0.020308559572815868,-0.06616226901000591,0.4423076923076923,1.2063568423313886,-0.23521893246794912
drop 10% (after 4h),0.3,0.5,7,227,0.039076349019050986,0.054475522966526115,0.5242290748898678,1.1548145524996773,-0.7816917435956793,104,0.010097987767634986,0.045827736374682855,0.5673076923076923,1.0664283219543842,-0.6362193324679486
delay 0.5h,0.15,0.5,7,241,0.038421440544565755,-0.30401823310335147,0.35684647302904565,1.2096688082567046,-0.3991345216187712,161,0.01847978597295563,-0.009202477595094575,0.4658385093167702,1.1969696834389647,-0.33307618147315027
